customer_id,first_name,last_name,gender,age,city,membership,signup_date,is_active
C000052,Megan,Gonzalez,Male,69,Bedok,STANDARD,2022-01-21,true
C000053,Lauren,Simmons,Male,59,Bishan,PLATINUM,2021-11-15,true
C000056,Derek,Martinez,Male,24,Tampines,SILVER,2024-12-28,true
C000057,Justin,Wilson,Female,33,Punggol,PLATINUM,2024-10-09,true
C000058,Lisa,Ross,Male,51,Ang Mo Kio,SILVER,2024-10-10,true
C000059,John,Morales,Male,53,Tampines,GOLD,2025-02-07,true
C000061,Melissa,Casey,Female,49,Punggol,SILVER,2023-08-29,true
C000064,Kathleen,Davis,Female,52,Singapore,STANDARD,2025-06-19,true
C000066,Brandon,Davies,Female,67,Ang Mo Kio,GOLD,2022-03-13,false
C000067,Bryan,Lee,Female,39,Punggol,PLATINUM,2023-04-02,true
C000068,Tiffany,Mendez,Male,20,Punggol,STANDARD,2022-03-01,true
C000069,Monica,Carlson,Female,59,Tampines,GOLD,2025-09-30,true
C000071,Kayla,Spears,Male,21,Yishun,STANDARD,2024-04-11,true
C000072,Wanda,Henry,Male,67,Bishan,STANDARD,2024-07-26,true
C000073,Christian,Gray,Female,41,Toa Payoh,GOLD,2025-04-10,true
C000074,Justin,Valdez,Male,58,Toa Payoh,GOLD,2023-06-15,true
C000075,Michael,Brooks,Male,37,Bedok,STANDARD,2024-07-24,true
C000076,Eric,Everett,Female,24,Yishun,SILVER,2025-06-03,true
C000077,Lindsay,Lynn,Female,54,Yishun,STANDARD,2025-02-14,true
C000080,Charlotte,Watson,Female,66,Tampines,GOLD,2023-04-08,true
C000081,Ashley,Mcguire,Male,39,Toa Payoh,SILVER,2022-03-12,true
C000083,Roger,Kaufman,Male,65,Jurong,STANDARD,2024-09-13,false
C000084,Gary,Li,Male,62,Jurong,SILVER,2026-05-03,true
C000086,Krystal,Williams,Male,49,Yishun,PLATINUM,2025-03-12,false
C000087,Ellen,Graham,Female,26,Ang Mo Kio,SILVER,2024-03-01,true
C000088,Michael,Obrien,Male,19,Bedok,GOLD,2026-06-22,false
C000089,Isaiah,Benson,Male,56,Jurong,STANDARD,2024-09-01,true
C000090,Julia,Nguyen,Male,44,Woodlands,STANDARD,2024-02-04,true
C000093,Erin,Williams,Male,22,Toa Payoh,STANDARD,2025-01-15,false
C000095,Karen,Martinez,Male,21,Singapore,SILVER,2025-05-15,true
C000096,Molly,Moore,Male,48,Bishan,PLATINUM,2022-05-11,true
C000097,Nathan,Bryant,Female,41,Yishun,GOLD,2026-01-31,true
C000098,Emily,Brown,Male,22,Bishan,GOLD,2024-05-19,false
C000100,Elizabeth,Johnson,Female,58,Jurong,GOLD,2022-08-20,true
C000102,Anne,Williams,Male,47,Singapore,STANDARD,2022-07-24,true
C000106,Paul,Mccoy,Male,55,Toa Payoh,PLATINUM,2025-06-15,false
C000109,David,Pollard,Male,54,Bedok,STANDARD,2025-06-13,true
C000110,Debra,Wagner,Male,50,Bishan,PLATINUM,2021-11-22,true
C000112,Larry,Hughes,Female,60,Woodlands,SILVER,2024-04-09,false
C000113,Mary,Todd,Male,20,Singapore,PLATINUM,2024-03-14,true
C000116,Kendra,Wilson,Male,58,Singapore,STANDARD,2024-06-20,true
C000118,Victoria,Vaughn,Female,68,Bedok,PLATINUM,2023-11-17,true
C000119,John,Daniels,Female,18,Woodlands,GOLD,2023-02-05,true
C000120,Kevin,Diaz,Male,25,Singapore,STANDARD,2024-10-01,true
C000122,Ricky,Kim,Male,57,Punggol,PLATINUM,2026-05-13,false
C000128,Raymond,Ross,Male,20,Singapore,PLATINUM,2022-06-24,true
C000129,Lance,Hanson,Male,38,Tampines,SILVER,2024-07-03,true
C000130,Brandi,Wolf,Female,31,Ang Mo Kio,GOLD,2023-01-12,true
C000131,Ryan,Austin,Male,37,Bishan,SILVER,2025-10-11,true
C000132,Jennifer,Bowen,Female,38,Yishun,PLATINUM,2026-05-01,true
C000133,Erica,Williams,Male,47,Ang Mo Kio,STANDARD,2022-01-30,false
C000135,Jennifer,Vasquez,Male,25,Singapore,PLATINUM,2023-07-20,true
C000139,Jonathan,Brown,Male,70,Woodlands,STANDARD,2022-07-30,true
C000144,Michael,Mason,Female,31,Ang Mo Kio,SILVER,2026-01-01,true
C000145,Jack,Jones,Male,31,Woodlands,STANDARD,2025-10-27,false
C000146,Joseph,Woodard,Female,36,Tampines,PLATINUM,2022-12-29,false
C000147,Mark,Chavez,Male,56,Singapore,PLATINUM,2024-10-20,true
C000148,Christian,Mcdonald,Male,62,Yishun,STANDARD,2022-07-24,true
C000150,Jeffrey,Foster,Male,52,Singapore,SILVER,2025-11-25,false
C000151,Brandon,Johnson,Female,34,Toa Payoh,STANDARD,2025-07-03,true
C000152,Ann,Smith,Female,23,Singapore,GOLD,2026-06-19,true
C000153,Michael,Garcia,Female,68,Tampines,PLATINUM,2021-09-09,true
C000154,Bonnie,Davis,Female,39,Jurong,PLATINUM,2026-06-17,true
C000155,James,Oneill,Female,55,Jurong,PLATINUM,2022-10-19,true
C000156,Gary,Hall,Female,68,Ang Mo Kio,GOLD,2023-06-28,true
C000157,Matthew,Johnson,Female,67,Tampines,SILVER,2022-01-06,true
C000159,Tami,Howell,Female,26,Ang Mo Kio,STANDARD,2022-12-15,false
C000160,John,Harvey,Male,45,Tampines,GOLD,2022-03-22,true
C000161,Michael,Allen,Female,28,Tampines,PLATINUM,2023-03-11,false
C000163,Ashley,Richardson,Male,67,Jurong,STANDARD,2024-07-15,true
C000165,Elaine,Davidson,Male,53,Jurong,STANDARD,2024-12-06,true
C000166,Richard,Freeman,Female,62,Punggol,STANDARD,2026-07-03,false
C000167,Scott,Jordan,Male,49,Ang Mo Kio,PLATINUM,2021-10-27,true
C000169,Robert,Thomas,Female,29,Singapore,SILVER,2022-04-25,true
C000170,Kristen,Thompson,Female,36,Toa Payoh,STANDARD,2023-10-22,true
C000173,Kevin,Warren,Male,18,Ang Mo Kio,PLATINUM,2023-08-21,true
C000174,Anthony,Black,Female,32,Tampines,SILVER,2022-12-25,false
C000175,Charles,Thompson,Male,41,Bedok,GOLD,2024-10-26,true
C000176,Jennifer,Salinas,Male,44,Jurong,PLATINUM,2021-10-10,true
C000178,Nicole,Hartman,Male,25,Woodlands,GOLD,2024-11-14,false
C000180,David,Burke,Female,41,Woodlands,STANDARD,2025-02-16,true
C000182,Nicole,Peterson,Male,60,Tampines,STANDARD,2025-03-19,true
C000184,Jonathan,Curtis,Male,22,Woodlands,GOLD,2025-03-11,true
C000185,Hunter,Rivas,Male,22,Ang Mo Kio,GOLD,2026-03-27,true
C000186,Sheri,Brown,Male,43,Tampines,PLATINUM,2025-02-21,true
C000187,Ryan,Hardy,Male,26,Bishan,PLATINUM,2023-07-04,true
C000189,Emily,White,Female,50,Woodlands,GOLD,2022-05-31,false
C000192,Rebecca,Mckee,Female,40,Toa Payoh,STANDARD,2022-01-18,true
C000195,James,Richard,Male,70,Tampines,PLATINUM,2022-12-24,false
C000197,Tracy,Stafford,Female,43,Jurong,GOLD,2025-04-04,true
C000200,Anna,Hall,Male,60,Toa Payoh,SILVER,2026-03-23,true
C000202,Robert,Bolton,Female,54,Punggol,PLATINUM,2023-07-05,true
C000203,Lacey,Walker,Female,26,Singapore,GOLD,2024-04-08,true
C000204,William,Huff,Male,35,Bedok,SILVER,2026-01-16,true
C000205,Mark,Bush,Female,52,Ang Mo Kio,STANDARD,2024-04-13,true
C000206,Shelley,Rodriguez,Female,54,Yishun,GOLD,2025-06-22,true
C000208,Amber,Smith,Male,65,Yishun,GOLD,2024-01-31,true
C000211,Carolyn,Hayes,Female,46,Woodlands,STANDARD,2025-04-02,true
C000213,Michelle,Park,Female,35,Tampines,GOLD,2023-12-14,false
C000214,Linda,Wiley,Female,29,Tampines,PLATINUM,2022-03-28,true
C000215,Lynn,Black,Male,37,Ang Mo Kio,SILVER,2025-08-14,true
C000216,John,Stevens,Male,69,Tampines,STANDARD,2022-09-17,true
C000217,Shaun,Allen,Female,32,Jurong,PLATINUM,2023-02-08,false
C000219,Thomas,Richardson,Male,35,Punggol,GOLD,2026-01-19,true
C000220,Eric,Andrade,Female,58,Singapore,SILVER,2022-05-17,true
C000222,Sarah,Harrison,Male,69,Punggol,PLATINUM,2022-07-16,true
C000223,Cassidy,Martin,Female,26,Yishun,SILVER,2025-05-02,true
C000224,Cheryl,Garza,Male,26,Toa Payoh,SILVER,2021-09-02,false
C000225,Scott,Nelson,Male,41,Bishan,PLATINUM,2025-10-24,true
C000226,Michaela,Church,Female,30,Bishan,GOLD,2025-02-04,true
C000229,James,Atkinson,Male,63,Bedok,GOLD,2024-12-04,true
C000232,Ann,Brown,Female,25,Singapore,PLATINUM,2024-03-26,true
C000234,Crystal,Spencer,Male,20,Woodlands,GOLD,2026-07-05,true
C000237,Rachel,Mullins,Male,27,Singapore,STANDARD,2024-11-26,true
C000239,Hannah,Sandoval,Female,45,Woodlands,PLATINUM,2023-09-29,true
C000240,Michelle,Wheeler,Female,44,Tampines,STANDARD,2026-04-05,false
C000241,Diana,Cohen,Male,57,Bedok,STANDARD,2026-07-24,true
C000244,Andrew,Hansen,Male,32,Bedok,GOLD,2024-02-22,true
C000245,John,Harmon,Male,23,Tampines,STANDARD,2021-07-29,true
C000246,Theresa,Stafford,Male,33,Yishun,SILVER,2025-08-06,true
C000247,Stephen,Morgan,Male,46,Jurong,STANDARD,2026-05-21,true
C000248,John,Brown,Female,30,Singapore,SILVER,2022-09-05,true
C000249,Lisa,Coleman,Female,20,Jurong,PLATINUM,2026-04-21,false
C000250,Christine,Stewart,Male,51,Yishun,SILVER,2022-11-01,false
C000251,Robert,Harris,Female,39,Yishun,PLATINUM,2023-12-18,false
C000252,Monica,Hall,Female,33,Woodlands,SILVER,2023-07-13,true
C000253,Jason,Martinez,Female,64,Tampines,PLATINUM,2022-06-15,true
C000254,Christine,Wallace,Male,59,Yishun,SILVER,2023-04-08,true
C000255,Ryan,Cox,Male,64,Ang Mo Kio,GOLD,2023-02-15,true
C000256,Nicholas,Lozano,Female,61,Punggol,SILVER,2022-01-16,true
C000259,Taylor,Fernandez,Male,41,Jurong,PLATINUM,2023-11-25,true
C000261,Melissa,Swanson,Male,61,Punggol,PLATINUM,2023-06-28,false
C000262,Karen,Martinez,Female,45,Woodlands,PLATINUM,2022-05-29,true
C000265,Sandra,Curtis,Male,31,Woodlands,PLATINUM,2026-01-27,true
C000266,Jose,Walters,Male,29,Bishan,SILVER,2023-03-19,true
C000267,Karen,Hernandez,Male,30,Bishan,PLATINUM,2025-07-01,true
C000270,Billy,Wood,Male,45,Singapore,SILVER,2025-05-21,true
C000271,Tricia,Taylor,Female,68,Yishun,STANDARD,2025-03-31,true
C000272,Connie,Hawkins,Female,61,Yishun,PLATINUM,2025-05-26,true
C000273,John,Bush,Male,54,Punggol,GOLD,2024-12-06,true
C000274,Linda,Patterson,Male,28,Singapore,GOLD,2026-06-20,false
C000275,Joshua,Kramer,Male,37,Singapore,GOLD,2023-01-08,true
C000278,Glenn,Collins,Female,30,Yishun,GOLD,2022-01-21,false
C000281,Robert,Wright,Female,21,Toa Payoh,SILVER,2025-05-27,false
C000282,Catherine,Kirk,Female,34,Punggol,STANDARD,2025-10-03,true
C000283,Alexa,Dillon,Female,53,Bishan,STANDARD,2021-11-14,true
C000285,Kenneth,Henry,Male,34,Jurong,PLATINUM,2022-10-07,false
C000286,Stacy,Sanchez,Female,32,Bedok,PLATINUM,2021-10-15,true
C000287,Sharon,Villa,Female,21,Bedok,GOLD,2022-06-21,false
C000288,Luis,Lawson,Female,56,Tampines,SILVER,2023-04-20,true
C000289,Jennifer,Ayala,Male,48,Bishan,PLATINUM,2026-06-02,false
C000294,Brittany,Anthony,Female,44,Jurong,STANDARD,2023-11-30,true
C000295,Anna,Weber,Male,65,Ang Mo Kio,GOLD,2025-10-01,true
C000297,Bruce,Rosales,Female,40,Bedok,GOLD,2023-11-19,true
C000298,Deborah,Morris,Male,47,Jurong,STANDARD,2026-04-10,true
C000300,Scott,Wilson,Male,55,Bishan,PLATINUM,2024-07-28,true
C000302,Leslie,Burke,Male,59,Jurong,STANDARD,2024-07-23,true
C000304,Anthony,Love,Female,65,Yishun,GOLD,2025-03-09,true
C000307,Brandon,Martinez,Female,18,Singapore,STANDARD,2024-02-15,false
C000308,Jacqueline,Thomas,Male,65,Bishan,PLATINUM,2025-01-31,true
C000309,John,Kemp,Female,44,Woodlands,GOLD,2024-06-13,false
C000310,Timothy,Patterson,Male,49,Toa Payoh,PLATINUM,2024-11-28,true
C000311,Zachary,Davis,Male,23,Yishun,GOLD,2024-11-15,true
C000313,Jon,Wilson,Male,48,Bishan,STANDARD,2025-11-20,true
C000315,Danny,Wallace,Female,70,Yishun,PLATINUM,2025-07-20,true
C000316,George,Baker,Male,67,Ang Mo Kio,STANDARD,2025-07-12,true
C000317,Debra,Lam,Male,19,Woodlands,STANDARD,2024-12-03,false
C000318,Erin,Harper,Female,31,Yishun,STANDARD,2023-04-11,true
C000319,Carrie,Cook,Male,26,Jurong,SILVER,2023-06-02,false
C000321,Albert,Jackson,Female,42,Bishan,GOLD,2026-01-22,true
C000322,George,Proctor,Female,24,Bedok,GOLD,2026-02-03,true
C000323,Tiffany,Baker,Male,55,Jurong,SILVER,2024-01-24,false
C000324,Sophia,Anderson,Female,39,Tampines,PLATINUM,2024-11-07,true
C000325,Jacob,Harris,Female,44,Tampines,PLATINUM,2023-07-09,true
C000327,Nancy,Martinez,Female,57,Woodlands,STANDARD,2025-05-26,true
C000329,Barbara,Martinez,Male,45,Toa Payoh,PLATINUM,2023-04-22,true
C000331,Tammy,Shannon,Male,55,Jurong,SILVER,2025-07-13,true
C000334,Pamela,Singh,Male,23,Singapore,STANDARD,2026-05-20,true
C000335,Ashley,Parrish,Male,35,Tampines,GOLD,2026-05-16,true
C000336,James,Bauer,Female,39,Toa Payoh,PLATINUM,2026-03-27,true
C000339,Kimberly,Campbell,Male,49,Bishan,STANDARD,2025-10-11,true
C000340,Brandon,Moore,Female,53,Woodlands,GOLD,2022-02-06,true
C000341,Justin,Torres,Male,70,Tampines,GOLD,2025-09-18,true
C000343,Natalie,Brooks,Female,54,Singapore,GOLD,2023-11-06,true
C000344,Angela,Lewis,Male,58,Jurong,SILVER,2025-11-06,true
C000347,Christina,Fisher,Female,59,Singapore,STANDARD,2024-08-02,false
C000348,Mark,Hill,Female,50,Woodlands,PLATINUM,2023-02-27,true
C000349,Trevor,Miller,Male,38,Singapore,STANDARD,2022-05-28,false
C000352,Randy,Bates,Female,36,Toa Payoh,SILVER,2024-05-19,false
C000353,Garrett,Foster,Female,43,Bishan,SILVER,2022-10-21,false
C000358,Julian,Rivera,Female,65,Tampines,PLATINUM,2021-09-23,true
C000359,Alexis,Davis,Female,58,Woodlands,PLATINUM,2022-03-26,false
C000360,Sherry,Sanchez,Female,25,Bedok,GOLD,2025-03-21,true
C000363,William,Rowe,Female,64,Punggol,STANDARD,2024-01-24,false
C000366,Cheryl,Carpenter,Female,39,Jurong,STANDARD,2026-04-12,true
C000367,Gail,Marshall,Male,57,Yishun,PLATINUM,2023-03-15,true
C000370,Shannon,Campbell,Female,53,Toa Payoh,PLATINUM,2022-05-02,true
C000371,Ronald,Mcdaniel,Female,28,Toa Payoh,SILVER,2021-10-27,false
C000372,Ronnie,Baker,Male,22,Punggol,GOLD,2025-02-10,false
C000376,Colleen,Hammond,Female,33,Singapore,GOLD,2026-06-10,true
C000377,Lori,Mcdaniel,Male,55,Woodlands,SILVER,2022-08-08,true
C000378,Emma,Henderson,Female,39,Yishun,STANDARD,2023-12-14,true
C000379,Evan,Smith,Male,38,Jurong,SILVER,2022-10-13,true
C000380,Travis,Long,Female,18,Bishan,SILVER,2026-04-05,true
C000381,Charles,Johnson,Male,32,Tampines,STANDARD,2022-10-22,true
C000382,Angela,Brown,Male,34,Bedok,PLATINUM,2025-02-05,true
C000386,Jennifer,Farrell,Female,44,Tampines,GOLD,2026-06-22,true
C000389,Roger,Robinson,Male,26,Toa Payoh,SILVER,2022-01-06,true
C000391,Brianna,Crawford,Male,37,Bishan,PLATINUM,2025-01-05,true
C000392,Thomas,Alexander,Female,64,Tampines,SILVER,2026-02-13,true
C000394,Vicki,Wheeler,Male,46,Yishun,PLATINUM,2022-12-05,true
C000396,Anthony,Marks,Male,43,Yishun,GOLD,2021-09-14,true
C000399,Jeremy,Steele,Female,19,Bishan,PLATINUM,2021-11-02,true
C000404,Michael,Harris,Male,52,Jurong,PLATINUM,2021-08-12,true
C000406,Bradley,Page,Male,70,Yishun,SILVER,2023-07-15,false
C000407,Daniel,Perkins,Female,19,Bedok,PLATINUM,2022-09-29,true
C000408,Alexander,Boyd,Female,41,Yishun,STANDARD,2022-11-23,true
C000413,Andrew,Bryant,Female,42,Toa Payoh,PLATINUM,2024-03-11,false
C000415,Brian,Jones,Female,54,Bedok,STANDARD,2022-03-07,true
C000416,Sandy,Vega,Female,64,Yishun,PLATINUM,2025-04-25,false
C000418,Brian,Taylor,Male,18,Singapore,GOLD,2026-02-08,true
C000420,Larry,Torres,Male,31,Yishun,GOLD,2025-04-26,true
C000422,Danielle,Reed,Female,49,Singapore,PLATINUM,2024-04-24,true
C000423,Yvette,Wood,Female,60,Tampines,PLATINUM,2023-07-09,true
C000425,Jennifer,Valenzuela,Male,20,Yishun,STANDARD,2025-09-22,true
C000427,Justin,Whitehead,Female,30,Singapore,STANDARD,2025-03-15,true
C000429,Troy,Vargas,Female,41,Ang Mo Kio,PLATINUM,2026-01-05,true
C000431,Blake,Berry,Male,55,Singapore,PLATINUM,2024-05-23,true
C000435,Gregory,Castillo,Female,18,Jurong,GOLD,2022-03-10,false
C000436,Lisa,Fisher,Female,18,Bedok,GOLD,2022-06-15,true
C000437,Jason,Garrett,Male,23,Jurong,SILVER,2026-07-15,false
C000438,Heather,Jackson,Male,33,Bedok,SILVER,2024-07-30,true
C000440,Jack,Moss,Female,50,Woodlands,PLATINUM,2025-05-10,true
C000442,Phillip,Bonilla,Male,50,Ang Mo Kio,SILVER,2025-09-24,true
C000444,Debra,Anderson,Male,53,Jurong,GOLD,2025-08-27,true
C000447,Jack,Patel,Female,57,Tampines,GOLD,2022-11-04,true
C000448,Anne,Parks,Male,28,Yishun,PLATINUM,2026-07-15,true
C000449,Matthew,Wood,Male,48,Ang Mo Kio,GOLD,2025-09-20,false
C000450,John,Williams,Female,68,Yishun,SILVER,2025-07-17,false
C000453,April,Smith,Female,51,Jurong,SILVER,2021-11-17,true
C000455,Amy,Mooney,Female,18,Punggol,STANDARD,2023-05-19,true
C000456,William,Jones,Female,38,Toa Payoh,PLATINUM,2022-01-11,false
C000458,Kelly,Ryan,Male,35,Yishun,SILVER,2021-10-13,true
C000461,Brandon,White,Male,42,Singapore,PLATINUM,2022-12-28,true
C000462,Paul,Baird,Male,45,Toa Payoh,SILVER,2024-05-19,true
C000463,Natalie,Perez,Male,47,Ang Mo Kio,PLATINUM,2022-01-19,true
C000465,Paula,Reed,Male,57,Punggol,GOLD,2024-03-09,false
C000467,Ashley,Garcia,Male,28,Toa Payoh,GOLD,2025-04-12,true
C000468,John,Hill,Male,44,Singapore,STANDARD,2023-12-29,true
C000471,Michael,Wilson,Male,52,Singapore,PLATINUM,2024-09-23,true
C000474,Kenneth,Tucker,Male,23,Singapore,SILVER,2025-04-19,false
C000475,Jacob,Moses,Female,35,Bishan,PLATINUM,2022-09-07,false
C000476,Ana,Green,Male,27,Bedok,PLATINUM,2026-06-04,false
C000478,Shelby,Peters,Female,39,Singapore,SILVER,2024-08-13,true
C000479,Thomas,Hardy,Male,20,Toa Payoh,STANDARD,2024-11-17,true
C000480,Charles,Zimmerman,Female,32,Jurong,SILVER,2024-04-29,false
C000481,Michael,Alvarez,Female,30,Woodlands,SILVER,2024-07-29,true
C000485,Teresa,Baker,Female,58,Toa Payoh,PLATINUM,2023-12-14,false
C000486,Beth,Clarke,Male,42,Bedok,GOLD,2024-07-06,true
C000487,Elizabeth,Lester,Female,45,Tampines,GOLD,2025-02-20,false
C000488,Katie,Patel,Female,36,Jurong,STANDARD,2023-11-05,true
C000489,Lisa,Abbott,Male,54,Bishan,STANDARD,2022-06-09,true
C000490,Nicolas,Davis,Female,44,Punggol,SILVER,2023-03-23,true
C000492,Keith,Warren,Male,55,Woodlands,GOLD,2022-09-30,true
C000493,Debra,Williams,Female,52,Yishun,GOLD,2026-01-16,true
C000495,Laura,Spencer,Female,29,Bishan,GOLD,2024-12-06,true
C000496,Amy,Ross,Male,68,Tampines,GOLD,2025-03-17,true
C000497,Tina,Morton,Male,69,Punggol,SILVER,2022-10-07,true
C000498,Christine,Miller,Male,34,Punggol,PLATINUM,2024-01-02,true
C000500,Lindsay,Jones,Female,22,Punggol,STANDARD,2023-09-26,true
C000501,Jay,Greer,Male,48,Bishan,PLATINUM,2023-08-10,true
C000503,Kyle,Mays,Male,70,Ang Mo Kio,STANDARD,2024-12-13,true
C000504,Howard,Hernandez,Female,43,Woodlands,SILVER,2021-09-16,true
C000505,Nicholas,Collins,Male,43,Bedok,SILVER,2024-02-03,true
C000509,Sherri,Harper,Male,43,Yishun,SILVER,2024-11-10,true
C000510,Albert,Reynolds,Female,63,Yishun,STANDARD,2022-11-12,false
C000511,John,Love,Male,52,Yishun,STANDARD,2023-03-24,true
C000512,Marcia,Rodriguez,Female,51,Singapore,GOLD,2025-04-04,true
C000515,Andres,Osborne,Male,49,Woodlands,SILVER,2025-06-12,true
C000516,Jenna,Vazquez,Female,44,Bedok,GOLD,2024-12-07,true
C000517,George,Owens,Male,37,Tampines,SILVER,2026-06-25,false
C000518,Kayla,Jacobson,Male,35,Punggol,STANDARD,2022-09-04,true
C000519,Michael,Russell,Male,26,Ang Mo Kio,PLATINUM,2025-12-09,true
C000520,Melinda,Carlson,Male,39,Toa Payoh,GOLD,2025-09-30,true
C000522,Jessica,Turner,Male,63,Woodlands,STANDARD,2024-04-05,true
C000523,Emma,Clark,Female,69,Jurong,GOLD,2026-01-25,false
C000524,Angela,Goodman,Female,31,Yishun,STANDARD,2023-07-15,true
C000525,Mark,Cox,Male,67,Bishan,PLATINUM,2025-07-22,true
C000527,Jessica,White,Male,33,Woodlands,SILVER,2023-03-23,true
C000529,Brandi,Mclaughlin,Male,61,Singapore,PLATINUM,2024-01-14,true
C000530,April,Ramirez,Female,27,Bishan,STANDARD,2025-05-10,true
C000532,Michael,Wiggins,Male,42,Singapore,GOLD,2023-04-12,false
C000533,Brittany,Ortiz,Female,67,Jurong,STANDARD,2023-03-26,false
C000534,Linda,Tucker,Female,38,Tampines,GOLD,2025-11-14,true
C000536,Erin,Melton,Male,36,Woodlands,SILVER,2021-11-03,false
C000538,Isabella,Schwartz,Male,64,Toa Payoh,STANDARD,2022-10-15,false
C000539,Jeffery,Anderson,Male,38,Ang Mo Kio,PLATINUM,2025-10-14,true
C000540,Jennifer,Warner,Female,62,Jurong,SILVER,2022-11-12,true
C000541,Christopher,Johnson,Male,31,Toa Payoh,PLATINUM,2023-12-04,true
C000542,Jennifer,Mendoza,Male,46,Bishan,GOLD,2023-05-07,false
C000543,Melissa,Mann,Male,35,Toa Payoh,STANDARD,2023-11-12,true
C000547,Cody,Kennedy,Male,35,Singapore,PLATINUM,2023-11-07,true
C000548,Dawn,Bass,Male,49,Bedok,STANDARD,2023-01-07,true
C000549,Kelsey,Hernandez,Female,41,Toa Payoh,GOLD,2025-07-20,true
C000552,Amber,Schmidt,Male,40,Toa Payoh,PLATINUM,2024-05-21,false
C000558,Kim,Mccann,Female,44,Bishan,SILVER,2022-07-20,true
C000560,Allison,Medina,Male,47,Singapore,SILVER,2022-06-15,true
C000561,Samantha,Young,Female,69,Punggol,STANDARD,2026-03-02,true
C000562,John,Brown,Female,67,Singapore,PLATINUM,2026-03-18,true
C000563,John,Sanchez,Male,52,Punggol,GOLD,2025-11-23,false
C000564,William,Silva,Female,36,Jurong,SILVER,2025-07-20,false
C000566,Jack,Johnson,Male,44,Punggol,GOLD,2024-09-20,true
C000567,Seth,Galloway,Female,55,Bishan,PLATINUM,2022-05-29,true
C000568,Karen,Andrews,Female,20,Tampines,PLATINUM,2022-12-09,true
C000569,Daniel,Lutz,Male,66,Jurong,PLATINUM,2024-10-18,true
C000571,Karen,Barton,Female,58,Woodlands,SILVER,2025-09-03,true
C000572,Zachary,Nelson,Female,34,Woodlands,STANDARD,2021-12-03,true
C000573,David,Stewart,Male,39,Toa Payoh,GOLD,2024-02-06,true
C000575,Emily,Freeman,Female,66,Woodlands,GOLD,2025-09-15,true
C000578,Julie,Herrera,Male,43,Bedok,GOLD,2024-06-29,true
C000580,Candice,Sullivan,Male,60,Jurong,SILVER,2025-04-04,true
C000582,Jose,Miller,Female,26,Punggol,PLATINUM,2022-05-13,true
C000583,Rita,Neal,Male,33,Ang Mo Kio,PLATINUM,2026-04-21,true
C000585,Brandon,Collins,Male,49,Bedok,PLATINUM,2025-03-12,true
C000586,Jason,Ramirez,Male,43,Bishan,SILVER,2025-04-28,true
C000587,Christian,Krause,Male,59,Bedok,GOLD,2021-12-09,false
C000588,Kyle,Webster,Female,55,Yishun,PLATINUM,2025-08-23,true
C000590,Dawn,Miller,Male,29,Ang Mo Kio,SILVER,2025-06-21,true
C000593,Christina,Underwood,Male,54,Bishan,STANDARD,2023-12-03,true
