driver_id,driver_name,vehicle_type,city,join_date,rating,status
D00042,Bruce Love,Premium,Bishan,2019-03-18,4.19,Active
D00043,Janet Deleon,Sedan,Tampines,2023-08-31,4.88,Active
D00044,Ellen Livingston,MPV,Jurong,2019-07-02,4.05,Active
D00045,Taylor Farley,Electric,Toa Payoh,2022-06-06,4.0,Inactive
D00046,Jeffrey Mullen,Electric,Singapore,2021-05-11,4.13,Active
D00047,Felicia Huber,Electric,Punggol,2021-10-26,4.35,Inactive
D00048,Kevin Acosta,SUV,Tampines,2026-06-21,4.88,Active
D00049,Renee Schwartz,Electric,Punggol,2020-08-29,3.55,Active
D00050,John Wheeler,Electric,Jurong,2019-08-01,3.72,Inactive
D00051,Yesenia Monroe,Hatchback,Tampines,2025-01-14,3.88,Active
D00052,Paula Bartlett,SUV,Tampines,2019-01-24,5.0,Active
D00053,Natasha Rice,Premium,Yishun,2019-05-01,3.95,Active
D00054,Lisa Sanchez,Hatchback,Ang Mo Kio,2018-09-12,4.16,Active
D00055,Shawn Wilson,MPV,Ang Mo Kio,2020-06-26,4.94,Active
D00056,Paula Fox,Premium,Ang Mo Kio,2025-11-01,4.75,Active
D00057,Micheal Jordan,Sedan,Woodlands,2020-01-23,4.61,Active
D00058,Lauren Oconnor,MPV,Jurong,2026-04-18,4.3,Active
D00059,Robert Aguilar,SUV,Singapore,2023-07-31,4.19,Active
D00060,Pamela Smith,SUV,Toa Payoh,2024-11-16,4.87,Active
D00061,Elizabeth Oliver,Sedan,Yishun,2025-06-17,4.33,Active
D00062,Amanda Arnold,Premium,Yishun,2021-07-25,4.66,Active
D00063,Kenneth Mercado,Electric,Yishun,2025-08-27,3.76,Active
D00064,Jose Burke,MPV,Toa Payoh,2025-04-22,4.88,Suspended
D00065,Christopher Foley,SUV,Ang Mo Kio,2023-01-24,4.18,Active
D00066,Johnny Weaver,Premium,Ang Mo Kio,2026-04-15,4.04,Active
D00067,Tyler Strickland,SUV,Jurong,2019-06-27,4.05,Active
D00068,Peter Thomas,Hatchback,Ang Mo Kio,2023-06-20,4.54,Active
D00069,Tyler Buckley,MPV,Jurong,2020-09-30,4.55,Inactive
D00070,Robert Knight,Premium,Bishan,2020-03-05,4.89,Active
D00071,Dr. Pamela Flores,Sedan,Bishan,2022-01-08,4.84,Active
D00072,Andrea Zavala,MPV,Yishun,2020-12-16,3.7,Active
D00073,Adam Sanders,Electric,Punggol,2018-08-14,4.98,Active
D00074,Carol Harrison,Electric,Bishan,2026-06-17,3.72,Active
D00075,Jordan Bailey,Premium,Toa Payoh,2024-07-04,4.06,Active
D00076,Lauren Villarreal,MPV,Yishun,2023-08-22,4.46,Active
D00077,Michael Murillo,Premium,Toa Payoh,2021-08-07,3.67,Active
D00078,Matthew Gomez,SUV,Toa Payoh,2019-09-28,3.9,Inactive
D00079,Robert Blanchard,Premium,Ang Mo Kio,2026-07-11,3.5,Active
D00080,Kari Williams,Hatchback,Tampines,2019-07-12,4.89,Active
D00081,Justin Copeland,Sedan,Yishun,2025-02-23,4.12,Active
D00082,Charles Ellis,Electric,Singapore,2023-10-27,3.85,Active
D00083,Thomas Garcia,Electric,Punggol,2021-05-21,4.94,Active
D00084,Samantha Daniels,SUV,Toa Payoh,2022-11-17,4.75,Active
D00085,Robert Cruz,Sedan,Ang Mo Kio,2019-08-21,4.88,Active
D00086,Jeffrey Bennett,Sedan,Bishan,2020-07-02,4.4,Active
D00087,Kimberly Sheppard,MPV,Bishan,2023-09-14,4.29,Active
D00088,Justin Nelson,SUV,Punggol,2026-07-06,4.6,Active
D00089,Logan Ballard,Premium,Toa Payoh,2023-09-13,3.9,Active
D00090,Lisa Garcia,Sedan,Toa Payoh,2021-11-29,4.91,Active
D00091,Ronald Green,SUV,Woodlands,2024-02-21,4.53,Active
D00092,Lindsay Henderson,Hatchback,Yishun,2019-05-17,3.76,Active
D00093,Jacqueline Franklin,Hatchback,Jurong,2024-12-20,4.97,Active
D00094,Troy Mccormick,Sedan,Punggol,2019-08-03,3.75,Active
D00095,Jennifer Mccormick,Hatchback,Singapore,2026-03-19,4.67,Inactive
D00096,Jessica Hicks,Hatchback,Bishan,2024-10-23,4.71,Inactive
D00097,Lori Juarez,SUV,Tampines,2019-07-27,3.89,Active
D00098,Paula Adams DDS,SUV,Punggol,2019-08-19,3.67,Active
D00099,John Williams,Electric,Toa Payoh,2021-04-20,4.35,Active
D00100,Penny Conway,Hatchback,Yishun,2018-08-21,3.79,Active
D00101,Karen Hernandez,Sedan,Tampines,2019-12-28,3.71,Active
D00102,Cynthia Clark,SUV,Yishun,2025-01-06,4.59,Active
D00103,Jacob Smith,MPV,Tampines,2023-06-10,4.22,Active
D00104,Christopher Morgan,Hatchback,Jurong,2021-04-27,3.79,Active
D00105,Andrew Chambers,SUV,Bishan,2025-06-15,4.64,Active
D00106,Alexander Sanchez,Electric,Woodlands,2025-08-22,3.81,Active
D00107,Sean Stevenson,Sedan,Toa Payoh,2019-12-25,4.75,Suspended
D00108,Ryan Johnson,MPV,Bishan,2025-11-29,4.75,Active
D00109,Daniel Lambert,MPV,Toa Payoh,2025-05-12,4.66,Active
D00110,Susan Marshall,Hatchback,Toa Payoh,2019-08-06,4.53,Active
D00111,Carol Webster,Hatchback,Punggol,2020-07-17,3.88,Suspended
D00112,Elizabeth Beck,SUV,Punggol,2021-03-08,4.72,Inactive
D00113,Jessica Cruz,SUV,Singapore,2025-04-30,4.02,Active
D00114,Stephen Henry,Hatchback,Tampines,2026-03-19,4.31,Active
D00115,Brian Sparks,Electric,Bishan,2025-01-19,4.34,Active
D00116,Travis Johnson,MPV,Singapore,2020-12-10,4.81,Active
D00117,Jacob Bryant,SUV,Toa Payoh,2023-11-22,4.25,Active
D00118,Charlotte Day,MPV,Singapore,2026-02-06,4.64,Active
D00119,David Harris,Premium,Tampines,2019-11-05,4.11,Inactive
D00120,Robert Smith,Premium,Bishan,2020-12-08,3.74,Active
D00121,Catherine Stewart,SUV,Woodlands,2025-05-28,4.97,Active
D00122,Lauren Davis,Sedan,Yishun,2019-01-08,3.62,Active
D00123,Amanda Lee,Hatchback,Bishan,2024-05-05,4.33,Active
D00124,Robert Chung,Electric,Punggol,2023-06-07,3.91,Active
D00125,Kelly Hill,Sedan,Yishun,2023-05-12,4.92,Active
D00126,Anthony Escobar,Electric,Bishan,2025-03-06,3.6,Active
D00127,Jason Mccoy,MPV,Ang Mo Kio,2021-03-14,4.24,Active
D00128,David Foster,Hatchback,Woodlands,2024-10-11,4.08,Active
D00129,Curtis Hicks,SUV,Tampines,2026-07-02,3.64,Inactive
D00130,Patricia Howell,Hatchback,Jurong,2022-06-13,3.64,Active
D00131,Brian Martinez,SUV,Jurong,2026-05-13,3.62,Active
D00132,Amanda Woods,Sedan,Ang Mo Kio,2023-09-24,3.84,Active
D00133,Elizabeth King,Electric,Jurong,2024-11-09,3.71,Active
D00134,Jamie Ward,Sedan,Yishun,2022-07-20,4.41,Active
D00135,Stanley Jennings,Electric,Tampines,2025-02-24,4.31,Active
D00136,Jeffrey Mullins,Sedan,Ang Mo Kio,2020-07-15,3.57,Active
D00137,Kristin Mason,Hatchback,Bedok,2021-02-12,4.53,Active
D00138,Nathaniel Washington,Sedan,Singapore,2024-09-22,4.06,Active
D00139,Gerald Curry,Hatchback,Toa Payoh,2023-10-16,4.46,Active
D00140,Bonnie Gardner,Sedan,Jurong,2025-03-19,3.52,Inactive
D00141,Michael Tucker,SUV,Jurong,2022-08-17,4.11,Active
D00142,Ashley Bishop,Hatchback,Bedok,2022-12-04,3.54,Active
D00143,Michael Arnold,Electric,Tampines,2024-02-23,4.37,Active
D00144,Rose Jones,MPV,Bedok,2026-06-30,3.76,Active
D00145,Bryan Adams,SUV,Jurong,2021-02-05,4.9,Active
D00146,Edward Hunter,Electric,Bishan,2020-02-23,4.75,Active
D00147,Paul Jones,MPV,Bishan,2025-03-25,4.18,Active
D00148,Dr. Timothy Ward,Electric,Ang Mo Kio,2019-03-21,4.73,Active
D00149,Jordan Garcia,MPV,Jurong,2025-01-25,4.95,Active
D00150,Michael Foley,SUV,Bishan,2024-05-19,4.75,Active
D00151,Eric Butler,MPV,Tampines,2025-03-01,3.66,Active
D00152,Kenneth Jones,Hatchback,Tampines,2023-12-03,4.25,Active
D00153,Theodore Olsen,MPV,Toa Payoh,2025-03-25,3.57,Active
D00154,Jessica Nguyen,Hatchback,Woodlands,2018-08-03,3.91,Active
D00155,Paul Lyons,Sedan,Ang Mo Kio,2023-06-20,3.86,Inactive
D00156,Heather Richardson,MPV,Toa Payoh,2024-09-18,3.73,Active
D00157,Lori Gutierrez,SUV,Ang Mo Kio,2022-04-18,4.4,Active
D00158,Ashley Downs,SUV,Yishun,2026-02-12,4.98,Active
D00159,Kimberly Taylor,Hatchback,Bishan,2020-05-20,3.7,Active
D00160,Melissa Ashley MD,Premium,Bedok,2020-04-22,4.26,Active
D00161,Nicholas Howard,SUV,Bishan,2019-07-28,3.84,Inactive
D00162,Joseph Walker,Sedan,Bedok,2025-12-05,4.88,Active
D00163,Danielle Hall,MPV,Jurong,2019-03-17,4.51,Active
D00164,Robert Cameron,Electric,Bedok,2019-04-29,3.8,Active
D00165,Lisa Guzman,SUV,Woodlands,2021-12-26,4.22,Active
D00166,Dalton Smith,Hatchback,Jurong,2024-08-29,3.95,Active
D00167,Amanda Robinson,Premium,Tampines,2021-07-26,4.0,Active
D00168,Kenneth Johnson,MPV,Bedok,2025-03-07,4.09,Active
D00169,Scott Griffin,MPV,Singapore,2018-09-02,4.01,Active
D00170,Kayla Duran,Hatchback,Woodlands,2026-07-10,3.9,Active
D00171,Brandi White,Electric,Singapore,2020-06-24,4.15,Active
D00172,Barbara Mullen,Sedan,Yishun,2018-10-08,4.7,Active
D00173,Matthew Monroe,Hatchback,Ang Mo Kio,2023-04-15,3.92,Active
D00174,Jessica Williams,Electric,Punggol,2024-03-01,4.11,Active
D00175,Christopher Carter,Hatchback,Singapore,2021-03-17,3.78,Active
D00176,Jesse Rivera,Sedan,Punggol,2026-01-08,3.81,Active
D00177,Ellen Torres,SUV,Bishan,2022-04-06,4.32,Active
D00178,Alan Lynn,Premium,Tampines,2024-02-15,3.56,Active
D00179,Carlos Little,Electric,Bedok,2025-01-10,4.66,Active
D00180,Brooke Sanders,Sedan,Bishan,2022-12-26,3.73,Active
D00181,Steven Garcia,MPV,Toa Payoh,2019-12-21,4.92,Active
D00182,Pamela Mcdaniel,Premium,Toa Payoh,2022-02-24,3.77,Active
D00183,William Thomas,SUV,Bedok,2024-07-20,4.57,Active
D00184,Kelly Erickson,Electric,Bishan,2020-02-17,4.35,Active
D00185,Jordan Huang,Premium,Singapore,2021-12-05,4.5,Active
D00186,Sarah Schmidt,Hatchback,Toa Payoh,2020-10-05,4.39,Active
D00187,Michael Gordon,Premium,Bedok,2018-08-07,4.49,Active
D00188,Patricia Harrison,Electric,Bedok,2025-05-26,4.71,Active
D00189,Marc Gross,Premium,Woodlands,2025-06-22,4.29,Active
D00190,Jacqueline Haynes,Sedan,Toa Payoh,2023-08-26,4.4,Active
D00191,Marie Armstrong,Hatchback,Bedok,2022-06-02,4.17,Active
D00192,Terry Harmon,SUV,Singapore,2021-06-08,4.63,Active
D00193,Gabriel Carr,Electric,Toa Payoh,2026-04-13,4.36,Active
D00194,Cynthia Larson,SUV,Toa Payoh,2019-09-22,4.47,Active
D00195,Cassandra Collins,Electric,Bishan,2023-07-07,3.6,Active
D00196,Michelle Brown,Premium,Bedok,2025-05-27,4.77,Active
D00197,Chelsea Proctor,MPV,Ang Mo Kio,2023-08-03,4.03,Active
D00198,Jennifer Jackson,MPV,Singapore,2019-10-28,4.35,Active
D00199,Mary Schmitt,Sedan,Yishun,2020-02-15,4.38,Active
D00200,Elizabeth Evans DDS,Sedan,Singapore,2020-11-22,3.59,Active
D00201,Alexandria Smith,MPV,Jurong,2025-05-27,4.88,Active
D00202,Erica Ward,MPV,Punggol,2022-09-16,3.84,Active
D00203,Sean Spencer,SUV,Bedok,2020-01-08,4.73,Active
D00204,Alan Gutierrez,Sedan,Punggol,2019-02-04,4.1,Active
D00205,Sierra Mccall,Premium,Tampines,2024-10-28,4.97,Active
D00206,Shelby Rivas,Electric,Tampines,2026-05-11,3.65,Active
D00207,Anna Woods,SUV,Punggol,2019-07-31,3.95,Active
D00208,Erin Snyder,Sedan,Ang Mo Kio,2020-04-06,4.27,Active
D00209,Deborah Fuentes,Electric,Yishun,2018-12-28,4.8,Active
D00210,Angela Fisher,Hatchback,Tampines,2023-04-13,4.35,Active
D00211,Terri Carter,Premium,Punggol,2020-03-31,3.58,Active
D00212,Garrett Martin,SUV,Singapore,2022-08-01,3.83,Inactive
D00213,Bruce Taylor,SUV,Yishun,2020-08-11,4.05,Active
D00214,Heidi Terrell,Hatchback,Tampines,2025-05-08,3.7,Active
D00215,William Potter,Hatchback,Woodlands,2020-01-04,4.68,Active
D00216,Marc Lee,Sedan,Punggol,2024-02-10,4.62,Active
D00217,Danielle Dawson DDS,Premium,Tampines,2025-07-18,4.47,Active
D00218,Denise Brown,MPV,Woodlands,2023-01-27,4.65,Active
D00219,Jacob Houston,MPV,Ang Mo Kio,2020-02-11,3.77,Active
D00220,Lindsey Sexton,Premium,Yishun,2022-11-27,3.92,Active
D00221,Robert Conner,Hatchback,Bedok,2024-12-29,3.84,Active
D00222,James Lane,Premium,Bedok,2024-07-02,3.63,Active
D00223,Ronald Wright,Hatchback,Jurong,2021-10-20,4.65,Active
D00224,Brittany Andrade,MPV,Bishan,2023-11-01,4.66,Active
D00225,Elizabeth Simpson,MPV,Bedok,2024-02-29,3.7,Active
D00226,Donna Lawrence,Sedan,Punggol,2025-01-15,4.4,Active
D00227,Andrew Jones,SUV,Tampines,2022-02-22,4.73,Active
D00228,Hannah Scott,Hatchback,Bedok,2026-04-06,4.3,Active
D00229,Carol Bishop,SUV,Toa Payoh,2026-06-28,4.55,Active
D00230,Jesse Landry,MPV,Woodlands,2024-10-06,4.97,Active
D00231,Elizabeth Morales,SUV,Punggol,2022-08-08,4.42,Active
D00232,Stephanie Rowland,SUV,Singapore,2023-10-08,3.69,Active
D00233,Elizabeth Smith,Hatchback,Bishan,2019-10-15,4.85,Active
D00234,Alexander Robinson,MPV,Singapore,2019-05-24,4.34,Active
D00235,Michelle Price,Electric,Ang Mo Kio,2020-09-05,4.81,Suspended
D00236,Kimberly Arroyo,Sedan,Ang Mo Kio,2019-03-13,3.57,Active
D00237,Courtney Maxwell,MPV,Tampines,2021-08-01,3.5,Active
D00238,Amy Mayer,Electric,Woodlands,2023-01-09,5.0,Active
D00239,Catherine Smith,Premium,Bishan,2019-09-04,4.94,Active
D00240,Jason Phillips,Premium,Punggol,2020-08-03,4.89,Active
D00241,Brenda Mcclure,SUV,Ang Mo Kio,2018-09-22,4.85,Active
D00242,Dr. James Bishop,MPV,Woodlands,2025-07-09,3.69,Active
D00243,Catherine Green,Sedan,Toa Payoh,2021-06-26,4.9,Active
D00244,Robert Newman,Electric,Punggol,2026-06-17,4.57,Active
D00245,Rebecca Hoffman,MPV,Bedok,2023-07-04,4.33,Active
D00246,Kayla Yu,Sedan,Bedok,2026-05-28,4.52,Active
D00247,Adrian Allison,SUV,Yishun,2018-10-30,3.76,Active
D00248,Casey Ferguson,Premium,Woodlands,2024-12-20,4.64,Active
D00249,Kevin Hall,Hatchback,Singapore,2026-01-26,4.75,Active
D00250,Ann Lewis,Electric,Ang Mo Kio,2026-05-16,3.87,Active
D00251,Amanda Rojas,Electric,Tampines,2021-01-13,3.84,Active
D00252,Alex Nielsen,Electric,Jurong,2018-11-10,4.38,Active
D00253,James Fox,Electric,Bishan,2022-12-26,3.61,Active
D00254,Tamara Munoz,Sedan,Ang Mo Kio,2019-04-24,4.86,Active
D00255,Steven Pineda,MPV,Jurong,2021-03-30,3.91,Active
D00256,Daniel Cobb,Electric,Punggol,2026-02-03,4.04,Active
D00257,Ernest Fritz,Sedan,Tampines,2019-01-21,4.65,Inactive
D00258,Sandra Burton,Hatchback,Tampines,2023-12-23,3.9,Active
D00259,Lucas Lee,Premium,Toa Payoh,2022-10-15,4.74,Active
D00260,Melissa Robertson,SUV,Bedok,2020-04-24,4.52,Active
D00261,Ashlee Evans,Electric,Jurong,2024-02-26,4.33,Active
D00262,Kevin Holland,Sedan,Ang Mo Kio,2023-09-22,4.1,Active
D00263,Amy Wright,Premium,Singapore,2025-11-29,3.87,Active
D00264,Peter Mcguire,SUV,Tampines,2022-06-12,4.75,Active
D00265,Eric Harris,Electric,Woodlands,2021-06-13,4.25,Active
D00266,Sarah Washington,Hatchback,Bedok,2026-01-12,4.56,Active
D00267,Jacob Barton,SUV,Ang Mo Kio,2019-05-21,4.15,Active
D00268,Dennis Miles,Hatchback,Punggol,2019-10-04,4.49,Active
D00269,Anna Sanchez,Sedan,Bedok,2019-09-24,4.95,Active
D00270,John Morris,SUV,Bedok,2023-02-15,3.74,Active
D00271,Andrea Hill,SUV,Tampines,2020-05-30,4.6,Active
D00272,Miranda Robertson,SUV,Tampines,2026-04-24,4.39,Active
D00273,Dana Bell,Hatchback,Toa Payoh,2025-05-30,4.32,Active
D00274,Jorge Sanchez,Hatchback,Singapore,2022-11-12,4.74,Active
D00275,Keith Murray,Premium,Jurong,2018-09-21,4.24,Active
D00276,Christopher Carney,Premium,Ang Mo Kio,2019-11-25,4.49,Active
D00277,Laurie Thornton,Hatchback,Tampines,2026-02-15,4.79,Active
D00278,Julie Garcia,Hatchback,Tampines,2023-01-31,4.81,Inactive
D00279,Rodney Baldwin,Electric,Toa Payoh,2019-08-07,4.66,Active
D00280,Natalie Stevenson,MPV,Yishun,2018-10-06,4.16,Active
D00281,Joshua Delgado,Premium,Singapore,2025-06-13,4.76,Active
D00282,Evan Buchanan,Hatchback,Punggol,2018-07-28,3.62,Suspended
D00283,Amber Lynch,Sedan,Bishan,2019-11-04,4.47,Active
D00284,Teresa Clayton,MPV,Singapore,2023-03-27,4.31,Active
D00285,Edward Davis,Electric,Punggol,2023-10-12,4.61,Active
D00286,Veronica Jones,Premium,Bedok,2022-05-04,4.2,Active
D00287,Dylan Lloyd,Sedan,Tampines,2025-09-08,4.97,Active
D00288,Andrea Reed,Electric,Singapore,2018-08-02,3.56,Active
D00289,David Smith,Electric,Ang Mo Kio,2023-07-05,4.45,Active
D00290,Jennifer Anderson,Electric,Jurong,2025-09-07,4.3,Active
D00291,Ryan Bridges,SUV,Singapore,2022-08-25,3.64,Active
D00292,Alyssa Gordon,SUV,Yishun,2024-01-27,4.7,Active
D00293,Derrick Morales,Sedan,Bedok,2024-05-31,4.56,Active
D00294,Anna Johns,Electric,Punggol,2020-01-16,4.84,Active
D00295,Mark Jones,Electric,Punggol,2026-06-15,4.9,Active
D00296,Lisa Martin,Electric,Tampines,2025-12-26,4.96,Active
D00297,Connie Montes,SUV,Bedok,2021-09-07,4.68,Active
D00298,Heather Thompson,Electric,Bishan,2022-10-17,4.36,Active
D00299,Justin Keller,MPV,Bishan,2024-02-06,3.53,Active
D00300,William Lloyd,SUV,Toa Payoh,2019-10-06,3.88,Active
D00301,Jessica Long,Electric,Bedok,2023-06-16,4.59,Active
D00302,Kenneth Sanders,SUV,Woodlands,2026-01-27,4.18,Active
D00303,Barbara Le,SUV,Punggol,2018-09-01,4.67,Active
D00304,Laura Watts,MPV,Woodlands,2018-10-01,4.74,Active
D00305,Matthew Hernandez,Premium,Woodlands,2019-01-30,3.55,Active
D00306,Anthony Anderson,Hatchback,Jurong,2024-10-23,4.67,Active
D00307,Elizabeth Hunter,Hatchback,Tampines,2020-07-10,4.87,Active
D00308,Jill Spence,Premium,Ang Mo Kio,2020-01-20,3.61,Active
D00309,James Garza,Hatchback,Bishan,2022-10-04,4.77,Active
D00310,Kaitlyn Rocha,SUV,Punggol,2022-02-16,4.32,Inactive
D00311,Chelsea Cooper,Sedan,Tampines,2020-08-26,4.68,Active
D00312,Brittany Simpson,MPV,Bedok,2019-07-10,3.62,Active
D00313,Rebecca Reese,Sedan,Bishan,2024-12-31,3.92,Active
D00314,Kathryn Butler,Hatchback,Ang Mo Kio,2020-04-03,4.16,Active
D00315,Hannah Bishop,MPV,Yishun,2021-10-28,4.77,Active
D00316,Steven Lane,SUV,Woodlands,2024-12-20,4.42,Active
D00317,Brenda Torres,Premium,Punggol,2021-01-23,4.84,Active
D00318,James Garcia,Electric,Woodlands,2021-11-11,3.95,Inactive
D00319,Nicole Smith,Hatchback,Singapore,2024-08-03,4.65,Suspended
D00320,Zachary Sanchez,Hatchback,Punggol,2023-02-20,4.59,Active
D00321,Maria Waters,MPV,Toa Payoh,2025-11-19,3.99,Active
D00322,Gabriel Mathis,Premium,Bishan,2020-06-02,4.46,Active
D00323,Eric Rowland,SUV,Tampines,2020-04-07,4.83,Active
D00324,Katherine Davis,Premium,Tampines,2024-07-29,4.72,Active
D00325,Debra Thompson,Sedan,Yishun,2018-12-04,3.98,Active
D00326,Robert Schmidt,Hatchback,Jurong,2024-02-27,4.05,Active
D00327,Robert Allen,Sedan,Punggol,2022-07-23,4.78,Active
D00328,Katie Leonard,SUV,Woodlands,2026-06-20,4.74,Active
D00329,Alex Rios,Premium,Jurong,2026-01-26,4.82,Active
D00330,Holly George,Electric,Tampines,2025-12-18,4.78,Active
D00331,David Robinson,Premium,Singapore,2020-09-08,4.42,Active
D00332,John Vazquez Jr.,SUV,Bedok,2024-06-25,4.5,Active
D00333,Audrey Garza,MPV,Tampines,2020-09-27,4.02,Active
D00334,Steven Colon,MPV,Yishun,2019-03-27,3.74,Active
D00335,James Thompson,Sedan,Bishan,2025-04-05,3.52,Active
D00336,Angela Garcia,MPV,Toa Payoh,2023-01-14,4.92,Active
D00337,Steven Taylor,SUV,Toa Payoh,2025-10-31,4.94,Active
D00338,Christina Ortega,SUV,Tampines,2019-01-29,4.2,Active
D00339,Stephanie Cooper,MPV,Singapore,2025-11-21,4.86,Active
D00340,Tina Cross,MPV,Bishan,2024-03-30,4.67,Active
D00341,Christopher Hayes,Hatchback,Singapore,2019-10-23,4.43,Active
D00342,Rachel Jones,SUV,Yishun,2024-11-10,3.55,Active
D00343,Donald Frazier,Premium,Woodlands,2020-12-25,4.36,Active
D00344,Crystal Bowman,Premium,Singapore,2024-10-08,4.32,Active
D00345,Edgar Maldonado,Electric,Singapore,2025-09-05,4.97,Active
D00346,Adam Simmons,Hatchback,Bishan,2022-04-05,4.59,Inactive
D00347,Kathy Taylor,SUV,Yishun,2019-07-26,4.79,Active
D00348,George Hardin,Electric,Bishan,2025-05-19,4.17,Active
D00349,Nicholas Zhang,SUV,Bedok,2024-01-20,4.44,Active
D00350,Keith Davis,Electric,Ang Mo Kio,2025-03-01,4.72,Active
D00351,Jessica Whitehead,SUV,Punggol,2022-03-28,3.54,Active
D00352,Annette Morgan,Premium,Bishan,2020-08-19,4.62,Active
D00353,Jordan Guerrero,SUV,Punggol,2024-05-27,4.52,Active
D00354,Tina Wilson,MPV,Punggol,2024-11-15,4.58,Inactive
D00355,Matthew Waters,Premium,Singapore,2022-03-02,3.99,Active
D00356,Kevin Hayes,MPV,Bishan,2022-11-06,4.71,Active
D00357,Michele Howell,Hatchback,Jurong,2021-01-31,3.53,Active
D00358,Joseph Chang,Hatchback,Jurong,2023-05-01,4.06,Active
D00359,Sara Santos,Electric,Yishun,2024-04-20,3.9,Active
D00360,Anthony Chaney,Electric,Singapore,2022-01-05,4.29,Active
D00361,Susan Black,MPV,Tampines,2019-12-01,3.64,Inactive
D00362,Katrina Stanton,Sedan,Singapore,2019-08-20,4.55,Active
D00363,Jonathon Schaefer,Sedan,Singapore,2020-12-07,3.53,Active
D00364,Erica Mcclain,Electric,Bedok,2021-05-20,4.44,Active
D00365,Brooke Berry,SUV,Bedok,2023-01-18,4.91,Active
D00366,Paula Rose,MPV,Bishan,2025-12-02,3.74,Active
D00367,Anthony Bates,Hatchback,Yishun,2022-09-24,4.7,Active
D00368,Jodi Ramirez,Electric,Yishun,2026-05-27,4.7,Active
D00369,Mark Turner,MPV,Tampines,2018-11-14,4.91,Active
D00370,Brittany Allen,Sedan,Tampines,2019-03-04,3.52,Inactive
D00371,Dwayne Rodriguez,Premium,Yishun,2025-04-09,4.45,Active
D00372,James Rodriguez,Sedan,Ang Mo Kio,2022-10-18,4.3,Active
D00373,Brandy Smith,MPV,Tampines,2022-07-12,3.81,Active
D00374,Marie West,SUV,Bedok,2019-04-05,4.31,Inactive
D00375,Wesley Stewart,Sedan,Bedok,2026-04-14,4.28,Active
D00376,Stephanie Robinson,MPV,Ang Mo Kio,2023-02-04,3.84,Inactive
